num pol;age;Sexe;Type vehicule;Date sous;anc permis;Zone geo;valeur
138;38;H;2;01/01/2019;20;B;19565
139;39;F;6;06/01/2019;17;C;5927
140;29;F;3;01/01/2019;11;C;23754
141;42;H;4;01/01/2019;24;C;4554
142;33;F;2;22/04/2019;15;A;1160
143;36;H;5;01/01/2019;18;B;9730
144;43;H;3;01/01/2019;23;B;4157
145;33;H;3;15/04/2019;14;A;17530
146;31;F;4;01/01/2019;12;B;14512
147;44;F;1;01/01/2019;26;B;19288
148;37;F;6;01/01/2019;19;A;9597
149;32;F;3;14/02/2019;14;C;5179
150;33;F;2;01/01/2019;15;C;30621
151;39;H;3;01/01/2019;20;B;3315
152;46;H;3;01/01/2019;28;D;19691
153;41;F;4;02/05/2019;23;C;8463
154;29;H;3;10/01/2019;10;B;14632
155;45;F;2;01/01/2019;27;B;25026
156;42;H;6;01/01/2019;22;B;6127
157;42;H;6;01/01/2019;22;D;4616
158;46;F;5;01/01/2019;28;A;12346
159;47;H;5;09/06/2019;29;C;16249
160;27;F;2;30/01/2019;9;A;19710
161;36;F;5;14/04/2019;18;B;1822
162;35;H;5;01/01/2019;16;A;3966
163;41;F;2;04/01/2019;23;A;12524
164;43;F;4;15/03/2019;24;A;28026
165;29;F;5;19/05/2019;8;D;5550
166;38;F;3;01/01/2019;17;D;27393
167;34;F;2;01/01/2019;16;C;11564
168;40;H;4;10/07/2019;21;D;26101
169;33;H;5;21/04/2019;15;C;8521
170;39;F;3;01/01/2019;21;D;3429
171;58;F;4;14/03/2019;33;B;27372
172;40;H;5;01/01/2019;22;B;6298
173;41;F;6;01/01/2019;23;D;27196
174;44;F;3;01/01/2019;25;C;21435
175;42;H;1;01/01/2019;24;B;19316
176;32;F;1;01/01/2019;9;D;2575
177;33;F;4;28/01/2019;15;D;9337
178;39;F;2;25/06/2019;21;A;19481
179;26;H;2;28/04/2019;5;C;28453
180;43;F;4;01/01/2019;20;B;26120
181;42;H;4;01/01/2019;24;A;15878
182;41;F;1;01/01/2019;21;C;29215
183;41;F;4;01/01/2019;22;C;8495
184;40;H;6;23/04/2019;22;B;9500
185;43;F;1;01/01/2019;25;D;24110
186;39;H;1;10/02/2019;19;C;20401
187;42;H;3;01/01/2019;21;A;19394
188;52;H;4;01/01/2019;28;D;11868
189;38;H;4;01/01/2019;20;A;26182
190;25;F;4;01/01/2019;7;A;5414
191;45;F;1;26/04/2019;27;D;1428
192;27;F;3;01/01/2019;7;A;26637
193;37;F;3;01/01/2019;19;D;27796
194;19;H;4;01/01/2019;0;C;27952
195;46;F;2;01/01/2019;28;C;10183
196;43;F;4;01/01/2019;25;C;27789
197;36;H;4;01/01/2019;18;B;26569
198;46;F;5;01/01/2019;26;C;25237
199;33;H;6;14/02/2019;15;C;6372
200;36;F;2;01/01/2019;18;A;22334
201;35;H;5;01/01/2019;13;A;23187
202;31;H;2;07/05/2019;13;C;22409
203;47;H;1;01/01/2019;27;A;5339
204;28;F;4;01/01/2019;10;D;15454
205;49;H;3;13/02/2019;31;B;1231
206;44;H;2;01/01/2019;23;B;28672
207;41;F;1;01/01/2019;22;D;4220
208;33;H;4;12/03/2019;15;D;17895
209;32;H;5;01/01/2019;14;C;28697
210;48;H;3;01/01/2019;30;B;23504
211;42;H;4;01/01/2019;19;B;7446
212;43;H;1;01/01/2019;25;B;2386
213;30;H;4;01/01/2019;12;C;25420
214;44;F;6;01/01/2019;26;C;16418
215;33;F;2;25/04/2019;15;D;8309
216;40;F;2;01/01/2019;22;A;29927
217;46;F;2;01/01/2019;28;C;13388
218;41;F;3;01/01/2019;21;C;9005
219;46;H;6;21/06/2019;26;C;7271
220;39;F;4;01/01/2019;21;A;8013
221;58;F;2;01/01/2019;40;A;9332
222;29;H;5;05/05/2019;11;D;16126
223;45;H;5;01/01/2019;18;D;30992
224;49;F;1;01/01/2019;31;A;14519
225;46;F;2;01/02/2019;28;C;6312
226;38;F;4;01/01/2019;20;B;25852
227;36;F;1;01/01/2019;18;C;8699
228;37;F;6;01/01/2019;18;A;25280
229;31;H;4;01/01/2019;13;A;3631
230;52;F;6;01/01/2019;34;B;8662
231;53;F;1;01/01/2019;35;D;28442
232;31;H;3;01/01/2019;13;A;19973
233;43;F;3;01/01/2019;25;C;15438
234;34;H;2;07/03/2019;16;C;25694
235;41;F;5;01/01/2019;23;D;1711
236;38;H;2;01/01/2019;15;B;1280
237;39;H;2;01/01/2019;19;D;4982
238;31;H;5;01/01/2019;13;D;7193
239;45;F;4;01/01/2019;26;B;13410
240;37;H;4;26/01/2019;18;A;1404
241;41;F;4;01/01/2019;23;C;6744
242;22;F;2;01/01/2019;4;C;21978
243;30;F;4;01/01/2019;12;A;24601
244;35;H;3;01/01/2019;17;A;27105
245;31;F;4;01/01/2019;12;C;26261
246;41;F;4;01/01/2019;23;D;29204
247;31;F;5;28/02/2019;11;A;26706
248;31;H;4;01/01/2019;13;C;13053
249;43;F;1;20/03/2019;25;A;4174
250;50;H;4;01/01/2019;31;B;14059
251;34;H;1;01/01/2019;14;A;12392
252;40;F;5;17/05/2019;19;B;29880
253;39;H;1;01/01/2019;18;A;3351
254;54;H;4;18/03/2019;36;C;25087
255;39;F;3;11/03/2019;21;B;6182
256;33;F;5;01/01/2019;15;C;22309
257;47;H;4;14/04/2019;28;C;20639
258;53;H;3;08/06/2019;35;D;27246
259;42;F;2;01/01/2019;22;C;10859
260;41;H;5;01/01/2019;17;D;27924
261;39;H;4;01/05/2019;21;D;16661
262;46;F;6;01/01/2019;28;A;29213
263;39;F;1;27/02/2019;21;B;7273
264;42;F;6;22/04/2019;24;C;24537
265;45;F;6;01/01/2019;22;D;30529
266;46;H;3;29/06/2019;28;B;29803
267;44;F;3;01/01/2019;26;A;7323
268;39;H;5;27/05/2019;19;B;27401
269;40;F;5;01/01/2019;22;B;29747
270;39;F;4;28/06/2019;20;C;3580
271;41;F;5;01/01/2019;23;C;17012
272;54;F;4;15/02/2019;36;C;22468
273;42;F;5;01/01/2019;24;C;11713
274;51;F;5;01/01/2019;33;A;7127
275;48;F;2;03/07/2019;30;B;8786
276;40;H;4;01/01/2019;21;B;18826
277;48;H;4;01/01/2019;30;A;12516
278;38;H;1;01/01/2019;20;D;2535
279;40;H;2;01/01/2019;20;B;20298
280;44;F;3;09/06/2019;26;D;1765
281;30;F;2;01/01/2019;12;A;10897
282;47;F;2;12/02/2019;27;D;16107
283;36;F;2;01/01/2019;16;B;1678
284;50;F;3;12/04/2019;32;B;24263
285;39;F;5;01/01/2019;21;A;17599
286;34;H;3;01/01/2019;10;A;21986
287;39;H;4;01/01/2019;21;C;29688
288;43;H;4;01/01/2019;24;D;27048
289;23;H;2;01/01/2019;5;A;18866
290;33;H;4;01/01/2019;13;C;6036
291;44;F;5;01/01/2019;26;D;15095
292;38;F;1;01/01/2019;16;B;6901
293;47;F;5;02/04/2019;27;A;29944
294;44;F;6;01/01/2019;22;C;25926
295;51;H;4;01/01/2019;33;A;13889
296;35;F;5;01/01/2019;16;B;8122
297;36;F;4;01/01/2019;17;C;30066
298;37;F;2;01/01/2019;17;C;6986
299;44;F;5;01/01/2019;26;D;12189
300;46;H;3;14/02/2019;28;B;24252
301;33;F;4;01/01/2019;15;A;8165
302;51;H;2;17/07/2019;33;C;3973
303;37;F;4;01/01/2019;19;B;24861
304;35;H;2;08/07/2019;17;C;4181
305;38;H;6;01/01/2019;20;C;22259
306;50;F;5;01/01/2019;30;D;7062
307;54;F;6;01/01/2019;36;A;12330
308;39;H;4;01/01/2019;21;A;4718
309;56;H;2;01/01/2019;38;C;7528
310;42;F;3;01/01/2019;20;C;4348
311;41;H;6;01/01/2019;16;A;29595
312;42;F;6;01/01/2019;24;A;20863
313;45;F;1;19/03/2019;27;D;26550
314;39;H;4;22/06/2019;14;B;14950
315;43;F;3;01/01/2019;24;D;28128
316;45;H;4;01/01/2019;27;C;16465
317;40;H;2;01/01/2019;22;A;18543
318;36;H;4;01/01/2019;15;A;22642
319;35;H;3;16/03/2019;15;D;2259
320;37;F;3;24/02/2019;17;B;10562
321;49;F;6;01/01/2019;31;A;6584
322;46;H;3;27/02/2019;26;B;12639
323;50;F;3;20/06/2019;30;B;23393
324;35;H;4;01/01/2019;16;A;14639
325;51;F;5;01/01/2019;31;B;18904
326;40;H;1;01/01/2019;22;A;25987
327;39;F;5;30/01/2019;21;A;20110
328;40;H;6;01/01/2019;17;B;10428
329;35;H;2;01/01/2019;17;D;1710
330;29;F;5;14/04/2019;11;D;19293
331;35;H;4;01/01/2019;17;A;13714
332;38;F;4;01/01/2019;20;D;8759
333;40;F;4;01/01/2019;22;D;26552
334;32;F;5;01/01/2019;12;B;16263
335;30;F;2;01/01/2019;9;D;14938
336;35;H;4;01/01/2019;17;A;14395
337;31;F;3;01/01/2019;13;D;1366
338;33;H;3;01/01/2019;15;C;27603
339;36;H;5;13/07/2019;17;A;1918
340;45;F;4;04/01/2019;27;D;14548
341;39;H;2;01/01/2019;21;A;24988
342;35;F;5;17/06/2019;17;B;4980
343;39;H;5;01/01/2019;19;A;22620
344;40;F;5;12/02/2019;21;C;21504
345;34;F;6;01/01/2019;11;D;30456
346;35;H;4;02/02/2019;14;A;22065
347;21;F;3;01/01/2019;3;B;5187
348;49;H;5;04/05/2019;30;B;16136
349;34;F;3;01/06/2019;15;B;16538
350;39;F;4;01/01/2019;17;D;24908
351;37;F;6;01/01/2019;19;C;24963
352;57;H;3;01/01/2019;34;C;12693
353;42;F;3;01/01/2019;19;C;7077
354;47;H;1;01/01/2019;29;D;9577
355;40;H;5;01/01/2019;22;A;5704
356;42;H;2;01/01/2019;24;B;27475
357;44;F;3;18/05/2019;23;D;30545
358;32;H;4;01/01/2019;14;A;1715
359;32;H;3;01/01/2019;14;A;14571
360;33;H;4;01/01/2019;14;A;8216
361;43;F;2;01/01/2019;24;D;5814
362;38;F;1;01/01/2019;20;D;27460
363;44;H;5;01/01/2019;26;D;12351
364;44;H;5;18/05/2019;24;C;6168
365;31;H;6;01/01/2019;13;B;10600
366;46;F;4;01/01/2019;17;A;27245
367;44;F;5;01/01/2019;26;C;10886
368;40;H;3;01/01/2019;15;D;29385
369;37;H;4;03/02/2019;18;C;9807
370;39;F;3;01/01/2019;20;A;9278
371;37;F;2;01/01/2019;16;A;28476
372;40;H;1;01/01/2019;22;C;13378
373;37;H;1;10/03/2019;19;B;5346
374;48;H;3;21/05/2019;30;C;4387
375;36;F;5;01/01/2019;16;A;22176
376;39;H;1;02/02/2019;21;D;22306
377;40;H;4;01/01/2019;22;C;9543
378;46;H;3;01/01/2019;27;A;29552
379;43;F;5;01/01/2019;24;A;10736
380;47;H;1;01/01/2019;28;C;28225
381;37;H;1;01/01/2019;17;B;7451
382;33;F;4;24/06/2019;14;D;23542
383;35;H;2;30/03/2019;15;D;28468
384;44;H;5;27/06/2019;20;D;27076
385;33;F;3;10/01/2019;15;D;20846
386;47;H;2;01/01/2019;25;D;8453
387;27;F;6;11/02/2019;6;D;15478
388;42;H;1;01/01/2019;22;A;1333
389;37;H;6;01/01/2019;19;D;20072
390;38;F;5;01/01/2019;19;A;25721
391;39;H;3;15/04/2019;21;A;30550
392;46;H;3;01/01/2019;28;D;28317
393;32;H;4;01/01/2019;12;D;24566
394;31;H;1;01/01/2019;10;C;27214
395;47;F;1;13/07/2019;23;C;23647
396;35;H;5;01/01/2019;17;A;12576
397;33;F;2;01/01/2019;15;A;18308
398;45;F;3;01/01/2019;27;C;5136
399;47;F;4;01/01/2019;29;B;1151
400;38;F;3;01/01/2019;20;B;3546
401;38;H;6;01/01/2019;19;C;14137
402;35;H;3;01/01/2019;17;B;8044
403;39;H;5;01/01/2019;21;C;18256
404;43;F;4;08/06/2019;24;C;11949
405;37;F;4;01/01/2019;19;C;29290
406;45;F;5;27/01/2019;25;B;24211
407;54;H;4;01/01/2019;35;D;24248
408;38;H;3;10/02/2019;20;D;3503
409;37;H;5;01/01/2019;19;B;22200
410;44;F;1;22/02/2019;20;C;26216
411;40;H;6;01/01/2019;21;A;7357
412;29;H;3;01/01/2019;10;B;11352
413;37;H;4;01/01/2019;19;B;2041
414;58;H;5;01/01/2019;40;A;17600
415;27;F;5;01/01/2019;6;A;21129
416;35;F;1;01/01/2019;17;C;14836
417;28;H;4;01/01/2019;7;A;3553
418;43;H;1;01/01/2019;25;D;22108
419;42;H;3;10/02/2019;22;D;18955
420;29;F;5;01/01/2019;8;D;9550
421;38;F;5;01/01/2019;20;D;15304
422;50;H;6;01/01/2019;32;C;26837
423;39;H;5;01/01/2019;18;D;14873
424;38;F;2;01/01/2019;16;D;30239
425;38;F;6;22/02/2019;17;C;29288
426;48;F;3;01/01/2019;29;A;5155
427;35;H;5;24/04/2019;17;B;16704
428;35;H;2;01/01/2019;16;B;18751
429;33;F;3;01/01/2019;11;A;5766
430;46;F;3;01/01/2019;28;A;16472
431;45;F;2;01/01/2019;21;C;29409
432;40;H;6;01/01/2019;22;A;2808
433;40;H;3;08/03/2019;20;A;14725
434;39;F;3;01/01/2019;20;C;6948
435;34;H;2;01/01/2019;16;D;24049
436;35;F;3;01/01/2019;15;C;24626
437;47;F;5;14/03/2019;29;D;11356
438;32;F;4;01/01/2019;13;D;3665
439;38;F;6;01/01/2019;18;D;5930
440;49;F;3;01/01/2019;28;B;29226
441;43;H;6;01/01/2019;24;D;4898
442;48;F;3;01/01/2019;30;A;23066
443;44;H;2;17/05/2019;21;B;30452
444;37;H;2;01/01/2019;19;A;6833
445;24;F;3;07/02/2019;6;A;15540
446;33;H;2;01/01/2019;15;C;27846
447;24;H;5;12/01/2019;5;D;16921
448;36;H;1;01/01/2019;18;A;2902
449;39;F;1;01/01/2019;21;B;5382
450;36;F;6;01/01/2019;15;D;14239
451;62;H;3;01/01/2019;40;A;25238
452;52;F;4;01/01/2019;32;D;19170
453;37;H;1;01/01/2019;19;C;17008
454;37;F;5;01/01/2019;19;A;30269
455;26;F;2;01/01/2019;8;D;10571
456;37;H;2;02/02/2019;19;B;9137
457;55;F;5;01/01/2019;37;D;22224
458;33;H;2;01/01/2019;15;B;4039
459;43;H;5;03/05/2019;20;A;8415
460;48;F;5;23/06/2019;30;A;10020
461;37;F;1;01/01/2019;15;B;21214
462;42;F;4;01/01/2019;24;B;5383
463;43;H;4;01/01/2019;20;D;23849
464;27;H;5;01/01/2019;9;C;13709
465;42;H;2;01/01/2019;24;C;19965
466;37;F;2;28/05/2019;15;A;21392
467;44;H;5;01/01/2019;26;D;20764
468;48;F;3;01/01/2019;30;C;11489
469;29;H;5;07/06/2019;11;C;16906
470;38;F;2;01/01/2019;20;C;13442
471;40;F;4;01/01/2019;22;A;9702
472;37;H;1;01/01/2019;19;B;7868
473;47;F;3;01/01/2019;27;A;9830
474;41;F;2;01/01/2019;18;A;1475
475;55;H;2;01/01/2019;32;B;8883
476;46;H;3;03/05/2019;22;A;28768
477;25;H;3;06/04/2019;7;B;18579
478;38;H;6;01/01/2019;20;A;24789
479;51;H;4;06/03/2019;33;B;19409
480;45;H;1;01/01/2019;21;D;28145
481;34;H;1;06/02/2019;16;C;21835
482;36;F;3;01/01/2019;18;B;3952
483;48;H;4;01/01/2019;30;A;12035
484;46;F;6;01/01/2019;26;C;11036
485;60;F;3;03/03/2019;39;B;19245
486;36;H;4;15/03/2019;17;B;6746
487;35;H;5;01/01/2019;15;C;28514
488;38;H;3;01/01/2019;15;C;22817
489;43;F;3;19/04/2019;24;B;27789
490;38;F;3;01/01/2019;20;B;21730
491;33;H;3;02/07/2019;15;D;18550
492;35;H;3;01/01/2019;17;A;24633
493;39;H;4;01/01/2019;21;C;26462
494;49;F;5;01/01/2019;31;A;19157
495;47;F;1;01/01/2019;29;D;26262
496;41;H;4;01/01/2019;20;D;20174
497;29;H;5;01/01/2019;11;B;2668
498;53;F;1;24/05/2019;33;B;17737
499;33;F;4;01/01/2019;15;C;22033
500;41;F;6;18/04/2019;18;C;2914
501;45;F;2;01/01/2019;24;B;8853
502;34;H;5;01/01/2019;16;A;5659
503;34;F;1;01/01/2019;16;D;1697
504;38;F;6;08/06/2019;20;A;8269
505;29;F;4;02/07/2019;8;C;1542
506;27;H;1;01/01/2019;7;A;17490
507;43;H;2;01/01/2019;25;C;2342
508;31;F;6;01/01/2019;12;C;17871
509;21;H;5;01/01/2019;3;D;20260
510;45;H;5;01/01/2019;25;C;27149
511;40;F;2;15/07/2019;17;A;2567
512;50;F;4;29/03/2019;32;B;17141
513;46;F;2;01/01/2019;28;A;17589
514;45;F;2;01/01/2019;27;A;2965
515;36;H;3;01/01/2019;18;B;23778
516;41;H;4;04/05/2019;20;C;12080
517;38;F;1;01/01/2019;18;D;14964
518;37;F;3;01/01/2019;16;C;19204
519;46;F;4;28/02/2019;28;A;9109
520;42;H;4;01/01/2019;21;D;12990
521;30;F;4;01/01/2019;12;C;21478
522;33;H;5;01/01/2019;15;D;21376
523;54;H;4;14/07/2019;36;D;4889
524;45;H;3;20/02/2019;27;B;5711
525;37;H;3;01/01/2019;19;B;5984
526;51;F;2;26/01/2019;33;D;17992
527;30;H;5;20/06/2019;12;D;16354
528;40;H;6;08/06/2019;22;A;15007
529;38;H;3;15/02/2019;17;D;29486
530;36;H;6;01/01/2019;17;B;13914
531;32;F;3;01/01/2019;12;B;7008
532;35;H;2;01/01/2019;14;C;30876
533;48;F;5;01/01/2019;30;B;29090
534;40;H;2;01/01/2019;22;D;6890
535;43;F;6;01/01/2019;19;C;12000
536;43;F;4;01/01/2019;25;D;11620
537;39;H;4;01/01/2019;21;A;28341
538;36;H;4;01/01/2019;18;D;26734
539;44;F;5;01/01/2019;25;A;25862
540;39;H;5;01/01/2019;18;D;29591
541;38;F;2;01/01/2019;20;B;6574
542;27;H;3;01/01/2019;7;B;6473
543;47;F;5;11/02/2019;27;D;4924
544;36;F;2;24/01/2019;18;A;1936
545;35;F;5;01/01/2019;17;A;1858
546;31;H;5;01/01/2019;9;A;7621
547;47;H;3;01/01/2019;29;C;27370
548;40;H;2;01/01/2019;20;D;27978
549;44;H;3;11/06/2019;26;D;16010
550;46;F;3;01/01/2019;28;D;24213
551;36;F;1;01/01/2019;18;B;18238
552;36;H;5;01/01/2019;16;D;29758
553;36;H;5;01/01/2019;18;D;16309
554;30;H;5;01/01/2019;12;D;10725
555;38;H;5;01/01/2019;17;B;5561
556;41;H;1;01/01/2019;23;A;28156
557;45;H;4;01/01/2019;20;B;19424
558;46;F;3;01/01/2019;28;C;17906
559;32;H;5;01/01/2019;12;A;26204
560;31;H;1;01/01/2019;10;C;21944
561;50;H;5;01/01/2019;29;C;25548
562;40;F;3;03/06/2019;19;A;25895
563;39;F;1;07/04/2019;20;A;20621
564;40;H;6;01/01/2019;16;B;24246
565;43;F;6;01/01/2019;25;A;19598
566;53;F;4;14/05/2019;35;D;15886
567;46;H;4;01/01/2019;25;C;8665
568;41;F;4;03/06/2019;23;C;1927
569;45;H;3;01/01/2019;27;C;28431
570;43;F;6;01/01/2019;18;B;6370
571;30;F;4;09/04/2019;12;A;19040
572;41;H;4;01/01/2019;22;B;22171
573;39;F;4;01/01/2019;18;D;24016
574;47;H;3;09/05/2019;25;D;2249
575;56;H;5;01/01/2019;38;D;11647
576;57;H;4;01/01/2019;38;B;13038
577;40;H;4;01/01/2019;19;D;28127
578;41;H;5;01/01/2019;23;C;24491
579;41;H;3;01/01/2019;23;C;16294
580;50;H;3;01/01/2019;29;D;6655
581;31;H;6;29/05/2019;9;B;25772
582;47;H;4;01/01/2019;26;A;30737
583;33;F;4;01/01/2019;15;D;7867
584;49;F;4;01/01/2019;28;C;9625
585;30;F;4;08/02/2019;12;B;15044
586;40;H;4;01/01/2019;22;A;7300
587;35;F;1;01/01/2019;15;D;22232
588;51;F;4;01/01/2019;31;C;23969
589;51;F;5;01/01/2019;31;C;7506
590;31;F;6;01/01/2019;9;B;23297
591;61;H;1;23/05/2019;39;A;22887
592;28;F;5;11/07/2019;10;D;12789
593;39;H;4;01/01/2019;21;C;6222
594;41;F;3;01/01/2019;23;D;29905
595;39;H;1;26/02/2019;21;A;17022
596;26;H;1;01/01/2019;7;C;5221
597;33;F;2;26/06/2019;14;B;16950
598;39;F;4;01/01/2019;21;A;30283
599;45;H;4;01/01/2019;25;C;20546
600;27;H;5;01/01/2019;8;A;3584
601;40;H;5;18/04/2019;22;D;29073
602;34;F;3;01/01/2019;16;B;29703
603;37;F;6;01/01/2019;19;A;21692
604;44;H;1;01/01/2019;24;A;16612
605;34;H;6;01/01/2019;16;A;18414
606;32;F;5;01/01/2019;14;C;5367
607;46;H;3;03/01/2019;28;D;22693
608;50;H;5;01/01/2019;31;C;18766
609;40;H;4;01/06/2019;21;B;25197
610;40;F;6;01/01/2019;22;A;13388
611;48;F;5;01/01/2019;30;D;28896
612;43;F;3;04/07/2019;25;D;27685
613;43;H;5;18/06/2019;24;B;28489
614;43;H;1;01/01/2019;24;C;2989
615;19;F;2;01/01/2019;-3;D;26347
616;38;H;2;27/02/2019;18;B;4884
617;41;H;4;01/01/2019;19;C;25664
618;46;H;4;01/01/2019;27;C;29444
619;36;F;5;01/01/2019;13;A;7596
620;38;F;3;01/01/2019;20;A;25245
621;49;H;3;20/04/2019;31;C;27769
622;34;H;4;01/01/2019;16;B;16574
623;45;H;5;01/01/2019;27;A;13155
624;29;F;1;01/01/2019;11;D;2577
625;35;F;3;01/01/2019;16;C;21312
626;42;F;5;01/01/2019;24;B;22549
627;34;H;5;24/05/2019;15;C;4511
628;34;F;2;30/06/2019;16;D;13859
629;32;H;4;01/01/2019;13;C;15698
630;35;H;2;01/01/2019;17;C;6534
631;39;F;4;01/01/2019;21;C;6930
632;47;H;2;01/01/2019;29;C;30018
